Primary ID,Date,Oil type,Manufacturer,Batch number,Spectra number,0.88 ppm,0.89 ppm,0.90 ppm,0.98 ppm,1.31 ppm,1.36 ppm,1.61 ppm,1.68 ppm,2.05 ppm,2.01 ppm,2.19 ppm,2.31 ppm,2.77 ppm,4.14 ppm,4.29 ppm,5.12 ppm,5.26 ppm,5.34 ppm,5.43 ppm,5.69 ppm,6.05 ppm,6.45 ppm
24,2025-11-12,Amaranth oil,A,43466,24,131.99,14.87,15.06,11.6,5652.66,593.81,887.13,88.36,571.39,604.95,11.29,620.93,,221.38,210.51,6.17,98.42,700.77,19.57,0.14,0.21,0.22
25,"October 07, 2025",Amaranth oil,A,43739,25,118.15,12.64,13.7,10.35,4960.9,544.66,797.98,73.66,494.62,559.9,10.15,577.2,278.4,201.97,199.73,6.17,93.83,656.09,14.98,0.16,0.13,0.34
26,2025-11-12,Amaranth oil,A,43497,26,,14.89,13.45,11.56,5362.62,564.79,843.85,78.33,557.49,527.35,10.96,616.51,291.24,217.21,206.81,5.73,98.3,691.5,16.92,0.16,0.15,0.22
27,2025-11-02,Amaranth oil,C,43739,27,128.83,14.5,13.42,10.87,5357.4,569.2,852.23,90.02,555.06,533.44,10.2,611.01,291.82,214.16,205.66,6.77,96.91,684.82,15.32,0.05,0.1,0.19
28,"October 08, 2025",Amaranth oil,B,43466,28,117.81,12.66,13.56,10.26,4959.17,544.1,796.89,74.46,494.29,558.19,10.18,576.84,278.74,202.33,199.87,6.2,93.78,658.0,15.56,0.16,0.13,0.34
29,"October 08, 2025",Amaranth oil,C,43739,29,131.84,14.81,15.09,11.59,5649.79,595.45,885.22,88.81,568.78,604.87,11.31,621.87,,220.78,210.1,6.17,98.54,702.19,19.44,0.15,0.21,0.22
30,"October 08, 2025",Amaranth oil,C,43466,30,125.4,15.68,12.33,11.21,5321.43,564.74,836.61,73.75,536.13,523.43,12.02,605.91,290.22,211.96,206.85,6.5,98.13,690.88,15.05,0.17,0.14,0.34
31,"October 08, 2025",Amaranth oil,B,43466,31,128.71,14.5,13.48,10.85,5353.77,569.71,851.71,89.64,552.11,532.02,10.2,611.18,291.81,214.43,206.08,6.76,96.72,685.88,16.61,0.05,0.1,0.19
32,"October 08, 2025",Amaranth oil,A,43497,32,124.95,14.65,13.27,11.52,5246.94,534.9,815.8,78.18,525.94,562.72,10.95,591.84,278.8,208.13,198.66,5.95,95.16,662.12,13.33,0.11,0.12,0.25
33,"October 08, 2025",Amaranth oil,A,43466,33,125.55,15.62,12.34,11.16,5308.0,565.08,839.15,73.53,538.19,529.11,12.05,605.41,289.7,212.06,207.33,6.5,98.22,690.95,15.38,0.17,0.14,0.34
34,"October 08, 2025",Amaranth oil,C,43466,34,121.17,14.81,12.84,10.94,5150.89,566.91,829.81,72.95,524.85,511.57,10.84,593.42,288.52,203.63,204.41,6.52,95.74,674.38,17.12,0.23,0.13,0.33
35,2025-11-02,Amaranth oil,A,43497,35,127.62,14.97,13.08,10.54,5274.25,557.13,836.51,80.14,546.49,520.29,10.57,602.78,287.26,212.26,202.78,6.22,99.94,727.59,64.94,0.12,0.22,
36,"October 07, 2025",Amaranth oil,C,43466,36,123.58,13.9,13.72,10.58,5265.97,534.9,828.77,85.16,534.27,512.23,10.76,586.53,281.92,208.34,197.49,,,658.26,14.95,0.13,0.1,
37,"October 10, 2025",Amaranth oil,C,43497,37,124.96,14.63,13.28,11.55,5250.96,536.25,814.28,77.51,524.73,565.18,10.99,592.32,278.63,208.04,198.57,5.95,95.15,662.92,16.08,0.11,0.12,0.25
38,2025-11-12,Amaranth oil,B,43497,38,120.38,14.87,12.88,10.9,5129.22,565.95,828.8,72.8,521.37,513.54,10.79,595.14,288.85,203.57,204.01,6.55,95.49,674.36,16.5,0.23,0.13,0.32
39,"October 10, 2025",Amaranth oil,B,43466,39,131.92,14.85,15.03,11.65,5665.08,594.92,886.52,88.48,570.63,605.09,11.32,621.67,,221.0,210.4,6.17,98.69,703.52,19.19,0.14,0.21,0.22
40,"October 10, 2025",Amaranth oil,B,43466,40,120.79,14.87,12.88,10.93,5139.78,565.65,829.19,72.77,523.64,510.55,10.81,593.5,288.74,203.92,204.21,6.56,95.43,673.91,16.51,0.23,0.13,0.32
41,"October 07, 2025",Amaranth oil,C,43739,41,128.09,14.96,13.14,10.51,5281.72,556.68,835.74,79.29,546.37,517.15,10.62,603.33,287.64,211.6,202.93,6.23,100.13,727.86,64.13,0.12,0.22,
42,"October 07, 2025",Amaranth oil,B,43497,42,131.89,14.85,15.04,11.6,5661.57,594.19,887.45,88.34,568.45,605.56,11.29,620.79,,221.05,210.4,6.16,98.59,701.68,19.11,0.14,0.21,0.21
43,"October 07, 2025",Amaranth oil,A,43739,43,125.04,14.7,13.26,11.53,5247.42,535.17,817.22,78.03,526.13,559.66,10.92,590.72,278.55,208.04,198.56,5.95,95.16,664.25,15.1,0.11,0.12,0.25
44,"October 08, 2025",Amaranth oil,A,43466,44,127.57,14.97,13.13,10.58,5288.11,556.92,836.57,79.79,545.0,517.41,10.56,601.82,286.7,212.56,202.94,6.22,100.01,728.27,65.65,0.12,0.22,
45,2025-11-02,Amaranth oil,C,43739,45,117.86,12.56,13.56,10.28,4967.35,543.26,799.04,73.75,493.87,558.09,10.17,575.67,279.0,202.97,200.38,6.19,93.83,658.38,14.36,0.16,0.13,0.34
46,"October 08, 2025",Amaranth oil,C,43497,46,123.77,13.92,13.75,10.57,5269.75,536.04,829.59,85.49,532.91,510.22,10.77,586.58,281.9,208.19,197.38,,,656.99,14.09,0.13,0.1,
47,2025-11-02,Amaranth oil,B,43739,47,125.14,14.58,13.27,11.56,5239.8,534.18,814.97,77.7,525.21,563.18,10.95,592.13,278.86,208.03,198.59,5.97,95.07,662.97,14.55,0.11,0.12,0.25
48,2025-11-02,Amaranth oil,C,43497,48,118.26,12.64,13.64,10.32,4980.5,542.9,798.83,73.85,492.58,560.29,10.19,578.1,278.69,202.14,200.27,6.19,93.66,658.23,14.38,0.16,0.13,0.34
49,"October 10, 2025",Amaranth oil,C,43466,49,124.79,14.67,13.29,11.52,5233.41,536.12,815.45,78.07,525.08,560.74,10.93,592.34,278.58,208.84,198.41,5.95,95.2,662.77,14.68,0.11,0.12,0.25
50,"October 10, 2025",Amaranth oil,A,43466,50,132.22,14.85,15.02,11.59,5659.59,595.02,886.96,88.68,570.62,607.4,11.31,620.92,,221.09,210.33,6.19,98.51,703.32,19.76,0.14,0.21,0.22
51,2025-11-12,Pomegranate oil,A,7997103831,51,33.53,9.44,159.71,2.84,3205.78,1498.65,728.95,5.54,95.44,83.87,1051.42,719.38,36.82,248.31,239.46,0.61,108.85,150.53,479.67,25.62,512.23,486.54
52,03/10/2025,Pomegranate oil,A,7997103831,52,36.5,10.13,175.03,5.52,3479.38,1628.38,772.37,6.29,97.45,90.69,1140.82,754.8,39.52,260.35,257.89,0.75,112.8,160.92,530.61,28.62,552.35,522.94
53,03/10/2025,Pomegranate oil,A,7997103831,53,36.7,10.15,168.26,4.13,3390.59,1568.55,748.86,5.66,99.94,89.12,1115.39,743.99,38.38,252.83,251.67,0.75,118.71,168.74,508.18,27.67,541.37,506.35
54,"October 07, 2025",Pomegranate oil,A,no data,54,43.39,9.29,150.28,5.45,3446.36,1427.56,736.47,7.46,128.24,112.91,963.53,708.1,54.01,240.66,235.68,01.01,112.54,211.45,462.92,23.21,463.08,456.6
55,"October 07, 2025",Pomegranate oil,B,no data,55,43.39,9.29,150.28,5.45,3446.36,1427.56,736.47,7.46,128.24,112.91,963.53,708.1,54.01,240.66,235.68,01.01,112.54,211.45,462.92,23.21,463.08,456.6
56,"October 08, 2025",Pomegranate oil,B,no data,56,43.21,9.42,147.23,6.14,3394.04,1405.03,711.98,7.87,127.74,111.16,950.72,703.29,52.84,234.48,232.31,,110.14,206.86,451.99,22.81,459.62,445.07
57,"October 08, 2025",Pomegranate oil,B,no data,57,43.62,9.5,148.24,6.17,3323.18,1421.29,736.09,9.64,126.77,111.19,945.41,714.44,53.63,237.23,233.75,0.79,103.78,204.13,448.32,23.06,452.6,443.71
58,"October 10, 2025",Pomegranate oil,D,71/8 10397,58,31.34,8.42,156.02,6.12,3109.73,1451.54,701.07,7.25,85.16,75.81,1022.37,672.51,33.88,231.72,229.79,0.71,108.36,152.95,474.5,24.28,493.5,472.59
59,"October 10, 2025",Pomegranate oil,D,71/8 10397,59,32.7,8.82,159.27,8.58,3132.22,1484.98,731.48,08.03,91.78,78.49,1054.85,699.57,34.66,233.62,234.67,0.47,112.97,165.26,490.09,24.84,498.25,484.83
60,"October 10, 2025",Pomegranate oil,D,71/8 10397,60,33.04,8.91,161.03,8.32,3171.79,1502.32,718.72,7.89,89.82,79.38,1060.04,704.81,35.01,237.1,236.89,0.38,114.7,165.56,493.15,25.26,510.85,489.79
61,"October 07, 2025",Pomegranate oil,A,71/8 10397,61,43.56,9.48,148.11,6.27,3323.73,1421.79,737.47,9.6,127.26,112.34,943.87,714.95,53.55,237.38,233.8,0.8,103.64,203.81,449.55,23.05,457.0,443.69
62,"October 10, 2025",Pomegranate oil,B,71/8 10397,62,43.62,9.28,150.82,5.35,3445.69,1426.42,736.27,7.51,126.71,114.41,958.25,708.06,55.38,240.53,236.5,0.99,112.29,210.38,462.1,23.17,460.58,456.11
63,"October 10, 2025",Pomegranate oil,B,7997103831,63,31.63,8.38,155.73,6.26,3115.92,1449.46,700.44,7.25,85.81,77.35,1024.07,670.74,34.01,231.79,229.37,0.7,108.24,150.36,476.21,24.26,493.92,474.0
64,2025-11-12,Pomegranate oil,B,7997103831,64,43.09,9.29,150.4,5.48,3444.41,1426.53,737.44,7.48,128.57,113.81,961.77,709.37,53.69,241.24,235.39,1.0,112.53,210.58,462.61,23.36,463.86,457.79
65,2025-11-12,Pomegranate oil,B,71/8 10397,65,43.77,9.47,147.88,6.11,3324.98,1419.97,735.52,9.73,127.89,111.95,941.54,713.64,53.45,236.79,233.97,0.8,103.7,203.88,448.67,23.11,454.41,442.74
66,2025-11-12,Pomegranate oil,A,7997103831,66,33.21,8.88,161.95,8.32,3173.96,1502.9,720.43,7.92,90.4,79.82,1050.54,703.92,35.5,237.6,236.97,0.4,114.57,164.37,493.47,25.23,511.01,490.3
67,"October 10, 2025",Pomegranate oil,D,7997103831,67,36.63,10.15,167.75,4.18,3386.09,1569.1,749.5,5.69,99.82,89.7,1115.3,744.21,38.43,253.41,251.82,0.75,118.44,168.58,508.02,27.74,541.88,505.13
68,"October 10, 2025",Pomegranate oil,B,7997103831,68,43.95,9.54,148.37,6.18,3329.86,1421.3,735.63,9.7,125.71,110.78,951.27,715.7,53.01,237.18,233.96,0.79,103.76,204.22,449.32,23.03,451.95,441.98
69,"October 10, 2025",Pomegranate oil,A,71/8 10397,69,31.3,8.44,156.29,6.16,3108.55,1453.02,703.09,7.23,84.98,75.2,1027.87,671.4,34.28,230.79,230.06,0.71,108.07,152.68,475.47,24.39,493.95,471.81
70,"October 07, 2025",Pomegranate oil,B,7997103831,70,43.42,9.25,150.46,5.38,3441.27,1431.6,735.9,7.41,127.5,112.91,962.02,708.17,53.72,240.39,236.15,01.02,112.69,210.67,460.77,23.25,462.51,457.68
71,"October 10, 2025",Pomegranate oil,A,71/8 10397,71,43.35,9.26,150.2,5.46,3449.97,1430.78,737.17,7.4,127.74,112.78,961.54,708.57,54.82,241.23,235.85,1.0,112.56,211.65,464.52,23.2,464.11,457.79
72,"October 07, 2025",Pomegranate oil,A,7997103831,72,31.34,8.44,155.96,06.01,3103.68,1446.5,701.35,7.14,85.67,75.47,1023.92,673.27,34.34,231.71,229.69,0.71,108.08,153.48,472.46,24.32,492.88,473.23
73,2025-11-12,Pomegranate oil,A,no data,73,31.07,8.39,156.04,6.11,3109.92,1442.87,702.29,7.37,86.61,76.33,1019.07,672.7,33.69,231.28,230.08,0.72,108.3,151.64,475.77,24.13,494.13,473.5
74,2025-11-12,Pomegranate oil,D,7997103831,74,36.35,10.14,168.2,04.06,3390.53,1571.72,750.32,5.6,100.28,89.83,1116.39,743.59,38.93,252.61,252.48,0.76,118.57,170.44,509.56,27.56,541.32,507.0
75,2025-11-12,Pomegranate oil,A,7997103831,75,43.6,9.43,147.64,06.08,3401.35,1400.39,712.01,7.86,126.7,111.23,953.25,702.39,52.87,234.85,232.25,,110.2,206.74,450.65,22.7,461.49,444.27
76,03/10/2025,Pomegranate oil,A,71/8 10397,76,43.18,9.27,151.23,5.55,3449.56,1426.8,735.76,7.44,128.63,114.01,967.59,708.19,54.38,240.9,235.27,01.02,112.8,211.47,462.42,23.22,462.99,457.14
77,03/10/2025,Pomegranate oil,D,71/8 10397,77,36.26,10.13,174.79,5.61,3479.21,1624.41,772.8,6.31,98.49,89.84,1140.49,753.63,39.73,260.24,258.36,0.72,112.44,161.77,529.25,28.78,549.4,523.94
78,"October 08, 2025",Pomegranate oil,D,7997103831,78,30.82,8.39,155.43,6.17,3115.24,1445.42,700.43,7.3,84.63,75.67,1021.7,669.32,33.52,231.56,229.74,0.72,108.38,153.23,474.24,24.49,495.6,473.53
79,"October 08, 2025",Pomegranate oil,A,no data,79,43.05,9.4,147.19,06.05,3403.4,1406.87,713.87,7.92,127.62,110.63,947.82,703.77,52.56,234.31,231.39,,110.11,208.01,451.61,22.87,458.11,446.56
80,"October 08, 2025",Pomegranate oil,D,7997103831,80,36.18,10.14,176.14,5.49,3483.14,1630.96,772.5,6.26,97.46,89.3,1138.08,755.79,39.96,259.94,258.25,0.73,112.93,161.27,531.57,28.67,551.26,523.83
81,03/10/2025,Pomegranate oil,B,7997103831,81,43.79,9.25,149.93,5.55,3446.43,1425.6,736.13,7.45,127.56,112.85,962.78,705.52,53.87,241.37,235.45,01.02,112.58,210.71,464.53,23.04,462.09,457.04
82,03/10/2025,Pomegranate oil,B,no data,82,33.78,9.45,160.42,2.85,3196.95,1489.86,729.12,5.56,96.0,83.78,1052.64,718.28,36.65,248.17,239.42,0.62,108.71,150.97,481.38,25.57,514.52,487.88
83,"October 08, 2025",Pomegranate oil,D,71/8 10397,83,32.87,8.91,161.75,8.51,3164.62,1500.47,717.46,7.88,89.72,80.51,1063.06,705.49,34.6,237.64,237.03,0.38,114.64,164.18,492.46,25.19,507.29,489.76
84,"October 08, 2025",Pomegranate oil,D,7997103831,84,43.76,9.43,146.99,6.17,3391.99,1406.36,711.07,7.96,128.1,111.63,948.06,705.54,53.02,235.15,232.39,,109.99,206.99,451.73,22.75,464.84,443.97
85,"October 10, 2025",Pomegranate oil,A,71/8 10397,85,32.94,8.83,159.51,8.6,3128.12,1479.96,732.61,08.06,91.01,77.73,1059.79,699.59,35.55,234.06,234.97,0.49,113.18,165.22,488.02,24.82,500.01,484.63
86,"October 08, 2025",Pomegranate oil,D,71/8 10397,86,33.45,9.47,160.41,2.81,3204.52,1499.27,728.33,5.58,95.06,85.25,1050.52,718.58,36.36,248.12,239.28,0.62,108.85,150.28,478.68,25.58,512.6,485.61
87,"October 10, 2025",Pomegranate oil,A,no data,87,32.43,8.91,160.87,8.33,3172.17,1502.27,717.74,7.93,90.45,80.29,1059.97,704.61,35.02,237.28,237.11,0.4,115.06,165.41,494.33,25.07,510.76,488.95
88,"October 07, 2025",Pomegranate oil,B,no data,88,37.26,10.14,168.17,4.12,3394.16,1570.52,749.36,5.73,99.62,89.55,1112.92,745.49,38.99,252.82,251.56,0.76,118.7,166.47,510.16,27.74,541.85,506.17
89,03/10/2025,Pomegranate oil,D,71/8 10397,89,43.28,9.5,147.99,6.23,3322.71,1421.7,737.2,9.65,128.27,111.02,937.39,713.73,53.6,236.83,234.06,0.79,103.64,203.47,446.8,22.96,453.47,442.72
90,"October 08, 2025",Pomegranate oil,A,7997103831,90,42.99,9.3,149.84,5.53,3449.64,1424.26,737.14,7.38,127.89,112.19,966.45,707.23,54.2,240.8,235.94,0.99,112.25,211.56,462.19,23.23,464.15,456.21
91,03/10/2025,Pomegranate oil,A,71/8 10397,91,32.95,8.82,158.99,8.52,3132.65,1489.04,732.41,08.05,91.97,78.21,1057.29,699.04,34.2,233.1,234.27,0.47,112.62,165.45,490.06,25.04,499.17,482.46
92,03/10/2025,Pomegranate oil,B,7997103831,92,37.29,10.15,167.73,04.02,3377.29,1568.01,748.15,5.62,100.75,89.93,1114.46,742.95,38.56,253.35,252.13,0.74,118.41,167.5,508.52,27.58,541.52,506.62
93,03/10/2025,Pomegranate oil,D,7997103831,93,43.73,9.27,150.29,5.3,3440.04,1427.47,735.14,7.43,127.01,114.32,963.75,708.23,53.93,240.46,235.45,01.03,112.59,212.97,461.93,22.97,462.75,456.6
94,"October 07, 2025",Pomegranate oil,B,no data,94,36.84,10.13,167.93,4.17,3389.62,1565.38,750.27,5.69,98.41,90.27,1117.1,745.77,38.8,252.92,252.01,0.75,118.81,167.7,508.7,27.64,541.12,505.33
95,2025-11-12,Pomegranate oil,A,7997103831,95,43.76,9.46,148.34,06.08,3315.04,1419.79,735.79,9.71,125.45,110.83,940.24,714.79,54.14,237.35,233.91,0.79,103.48,205.3,447.74,23.16,452.28,444.54
96,"October 08, 2025",Pomegranate oil,A,7997103831,96,43.6,9.33,149.61,5.28,3450.4,1424.56,736.23,7.46,129.33,112.08,961.78,707.82,55.12,240.55,236.46,01.02,112.71,211.96,462.9,23.4,464.97,457.77
97,2025-11-12,Pomegranate oil,D,71/8 10397,97,32.88,8.79,159.41,8.61,3142.53,1484.39,732.72,08.05,91.3,78.6,1057.48,699.25,34.91,233.88,234.58,0.47,112.88,164.48,490.76,24.72,499.24,482.82
98,2025-11-12,Pomegranate oil,A,no data,98,43.69,9.48,148.6,6.37,3331.38,1427.1,736.61,9.74,128.99,109.87,941.26,712.73,53.77,237.02,233.6,0.81,103.81,206.27,448.33,23.11,447.7,442.76
99,2025-11-12,Pomegranate oil,D,7997103831,99,36.53,10.11,174.17,5.52,3477.94,1623.72,772.8,6.3,96.96,90.93,1141.79,755.77,39.6,260.73,257.88,0.74,113.11,159.48,530.07,28.58,553.44,521.98
100,03/10/2025,Pomegranate oil,B,7997103831,100,43.37,9.31,150.44,5.52,3456.4,1422.08,738.5,7.61,128.4,112.8,959.04,708.01,53.86,240.07,235.55,01.01,112.71,212.56,462.79,23.2,463.4,455.42
101,2025-10-02,Sea buckthorn oil,A,42767,101,188.18,67.44,17.71,12.67,7570.37,407.34,806.63,4.36,814.16,171.64,7.51,767.47,98.62,290.82,280.51,2.88,130.08,584.07,8.91,0.04,0.14,
102,2025-10-02,Sea buckthorn oil,A,42767,102,151.12,78.28,18.04,11.48,6986.13,391.5,768.35,4.21,747.97,160.66,6.33,747.98,88.62,269.89,261.31,,124.1,542.54,08.07,0.13,0.23,
103,2025-10-02,Sea buckthorn oil,A,42767,103,159.01,60.22,14.3,11.86,6514.33,351.22,695.9,03.07,694.28,142.97,7.3,692.69,82.23,248.33,243.86,2.14,115.75,501.59,07.08,0.04,0.06,
104,2025-10-02,Sea buckthorn oil,C,43497,104,169.35,61.59,21.64,9.97,6793.16,354.02,752.69,3.27,727.91,150.25,8.56,723.85,86.62,255.99,250.51,1.6,119.2,513.32,6.62,0.09,0.08,
105,02/10/2025,Sea buckthorn oil,C,43497,105,151.72,64.88,24.16,11.27,6997.9,373.05,774.86,3.24,736.24,159.31,8.22,754.6,88.46,262.55,259.62,02.05,118.19,486.34,2.85,0.05,0.15,
106,03/10/2025,Sea buckthorn oil,D,43497,106,139.7,68.28,,10.44,6529.55,352.43,,03.09,687.41,146.82,10.49,709.24,84.22,246.56,244.77,1.68,110.61,453.65,2.57,0.11,0.19,
107,03/10/2025,Sea buckthorn oil,D,43497,107,139.7,68.28,22.72,10.44,6529.55,352.43,715.14,03.09,687.41,146.82,10.49,709.24,84.22,246.56,244.77,1.68,110.61,453.65,2.57,0.11,0.19,
108,03/10/2025,Sea buckthorn oil,C,43525,108,136.9,72.54,26.29,10.45,6356.08,373.44,703.06,3.79,717.13,155.37,8.94,706.85,88.2,241.51,237.46,1.82,114.37,516.48,8.14,0.04,0.09,
109,06/10/2025,Sea buckthorn oil,D,43525,109,140.23,73.08,24.05,10.11,6699.98,389.58,763.47,3.9,749.5,158.68,7.93,732.51,91.5,253.09,250.52,,115.83,498.74,3.22,0.06,0.1,0.11
110,"October 07, 2025",Sea buckthorn oil,D,43525,110,150.52,53.3,22.46,9.72,6351.75,371.95,725.61,3.55,714.59,153.2,6.49,687.81,87.39,237.2,232.37,1.9,112.4,514.15,7.95,0.05,0.12,0.2
111,06/10/2025,Sea buckthorn oil,D,42767,111,139.93,68.74,22.8,10.43,6540.93,353.37,717.55,03.08,687.36,146.55,10.43,710.65,83.82,245.75,243.9,1.71,110.32,449.88,2.76,0.11,0.19,
112,03/10/2025,Sea buckthorn oil,C,42767,112,170.68,61.25,21.48,9.95,6773.41,353.85,754.37,3.29,727.63,150.64,8.68,723.33,86.17,255.12,250.26,1.63,119.49,515.04,6.6,0.09,0.08,
113,2025-10-02,Sea buckthorn oil,C,43525,113,137.03,72.72,26.22,10.41,6369.16,372.11,704.83,3.76,719.82,154.54,8.92,706.35,88.18,241.29,237.52,1.81,114.04,515.2,8.18,0.04,0.09,
114,03/10/2025,Sea buckthorn oil,C,42767,114,151.43,64.84,23.9,11.3,7018.14,373.61,771.34,3.23,736.39,159.53,8.25,755.94,88.58,263.37,259.27,02.03,118.04,487.82,2.74,0.05,0.15,
115,03/10/2025,Sea buckthorn oil,C,43497,115,140.04,68.25,22.81,10.48,6558.53,351.8,718.56,3.13,688.87,147.45,10.53,708.27,84.58,245.79,245.19,1.64,110.79,455.93,2.66,0.11,0.19,
116,06/10/2025,Sea buckthorn oil,C,43497,116,150.67,53.44,22.77,9.71,6313.74,371.73,724.63,3.59,715.58,152.97,6.51,688.13,87.92,238.04,232.33,1.88,111.81,512.53,7.89,0.05,0.12,0.2
117,06/10/2025,Sea buckthorn oil,A,43525,117,157.81,60.36,13.97,11.91,6511.09,352.37,697.26,03.04,696.74,143.42,7.36,690.58,82.52,248.36,243.97,2.15,115.8,498.17,7.16,0.04,0.06,
118,03/10/2025,Sea buckthorn oil,A,43497,118,139.69,68.46,22.58,10.4,6494.7,351.35,719.57,03.06,686.98,147.56,10.56,711.56,84.38,245.73,244.51,1.69,110.31,455.19,2.67,0.11,0.19,
